Epoch	LR	Train Loss	Recons Loss	KLD Loss	
1.000000	0.010000	19969.215448	0.446362	19968.768795	
2.000000	0.009900	372.282267	0.363789	371.918488	
3.000000	0.009801	150.524809	0.363034	150.161774	
4.000000	0.009703	133.119447	0.349442	132.770003	
5.000000	0.009606	110.079269	0.343525	109.735743	
6.000000	0.009510	92.389614	0.336911	92.052702	
7.000000	0.009415	78.549717	0.333237	78.216480	
8.000000	0.009321	68.198638	0.329110	67.869528	
9.000000	0.009227	60.184998	0.317565	59.867433	
10.000000	0.009135	54.553679	0.282707	54.270972	
11.000000	0.009044	49.440462	0.247472	49.192989	
12.000000	0.008953	44.752783	0.223065	44.529718	
13.000000	0.008864	40.060603	0.206766	39.853836	
14.000000	0.008775	35.732470	0.191955	35.540515	
15.000000	0.008687	31.594715	0.184479	31.410236	
16.000000	0.008601	27.438314	0.180123	27.258191	
17.000000	0.008515	24.057449	0.176429	23.881020	
18.000000	0.008429	21.098497	0.175578	20.922920	
19.000000	0.008345	18.119424	0.172471	17.946953	
20.000000	0.008262	15.945026	0.171302	15.773723	
21.000000	0.008179	13.726687	0.170048	13.556639	
22.000000	0.008097	11.809189	0.166921	11.642268	
23.000000	0.008016	10.424867	0.164253	10.260613	
24.000000	0.007936	9.284486	0.164744	9.119743	
25.000000	0.007857	8.096322	0.163206	7.933116	
26.000000	0.007778	7.229610	0.163562	7.066048	
27.000000	0.007700	6.386629	0.163082	6.223548	
28.000000	0.007623	5.816709	0.162592	5.654116	
29.000000	0.007547	5.275044	0.162406	5.112638	
30.000000	0.007472	5.047495	0.162498	4.884997	
31.000000	0.007397	4.936503	0.162211	4.774292	
32.000000	0.007323	4.567117	0.162233	4.404884	
33.000000	0.007250	4.302847	0.161855	4.140992	
34.000000	0.007177	4.114769	0.162420	3.952349	
35.000000	0.007106	3.663545	0.162534	3.501011	
36.000000	0.007034	3.488646	0.163214	3.325432	
37.000000	0.006964	3.564258	0.162371	3.401887	
38.000000	0.006894	3.296668	0.161406	3.135261	
39.000000	0.006826	3.228530	0.161674	3.066856	
40.000000	0.006757	3.091887	0.160201	2.931685	
41.000000	0.006690	3.158159	0.161142	2.997017	
42.000000	0.006623	2.984920	0.160723	2.824197	
43.000000	0.006557	3.070743	0.160773	2.909971	
44.000000	0.006491	2.926220	0.160345	2.765875	
45.000000	0.006426	2.700606	0.160070	2.540536	
46.000000	0.006362	2.772067	0.160317	2.611750	
47.000000	0.006298	2.888953	0.160105	2.728848	
48.000000	0.006235	2.632628	0.161143	2.471485	
49.000000	0.006173	2.424486	0.160609	2.263877	
50.000000	0.006111	2.316011	0.159932	2.156079	
51.000000	0.006050	2.446110	0.160094	2.286016	
52.000000	0.005990	2.284479	0.160069	2.124410	
53.000000	0.005930	2.420963	0.159910	2.261053	
54.000000	0.005870	2.316610	0.159481	2.157129	
